Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
32,Jose Altuve,32,HOU,AL,124,538,471,86,138,33,0,24,52,17,1,57,81,0.293,0.379,0.516,0.895,153,243,12,9,0,1,2,*4/HD,altuvjo01
33,Jose Alvarado*,27,PHI,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1,alvarjo03
34,Eddy Alvarez*,32,LAD,NL,14,27,25,1,4,0,0,0,3,1,0,0,9,0.16,0.154,0.16,0.314,-13,4,1,0,1,1,0,/59HD76,alvared01
35,Yordan Alvarez*,25,HOU,AL,118,494,410,84,121,21,2,33,84,1,1,72,94,0.295,0.403,0.598,1,182,245,12,6,0,6,9,D7/H,alvaryo01
36,Brian Anderson,29,MIA,NL,83,321,282,35,65,13,1,8,26,1,0,33,87,0.23,0.321,0.369,0.69,95,104,6,5,0,1,2,59/7DH4,anderbr06
37,Tim Anderson,29,CHW,AL,79,351,332,50,100,13,0,6,25,13,0,14,55,0.301,0.339,0.395,0.734,108,131,10,5,0,0,1,6,anderti01
38,Tyler Anderson*,32,LAD,NL,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1/H,anderty01
39,Elvis Andrus,33,TOT,AL,129,488,449,56,113,30,0,13,50,9,4,37,77,0.252,0.311,0.405,0.717,107,182,11,2,0,0,0,*6/HD,andruel01
40,Elvis Andrus,33,OAK,AL,106,386,354,41,84,24,0,8,30,7,4,30,62,0.237,0.301,0.373,0.673,96,132,10,2,0,0,0,*6/HD,andruel01
41,Elvis Andrus,33,CHW,AL,23,102,95,15,29,6,0,5,20,2,0,7,15,0.305,0.353,0.526,0.879,145,50,1,0,0,0,0,6,andruel01
42,Miguel Andujar,27,NYY,AL,25,94,90,9,22,2,0,1,8,4,0,3,19,0.244,0.266,0.3,0.566,62,27,0,0,0,1,0,7/DH,andujmi01
43,Mark Appel,30,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,appelma01
44,Aristides Aquino,28,CIN,NL,65,218,205,20,42,9,0,8,27,2,3,13,81,0.205,0.252,0.366,0.618,65,75,0,0,0,0,0,9/7H8D,aquinar01
45,Jonathan Aranda*,24,TBR,AL,14,36,33,4,12,3,0,1,4,0,0,3,8,0.364,0.417,0.545,0.962,181,18,0,0,0,0,0,/43HD5,arandjo01
46,Jonathan Arauz#,23,TOT,AL,15,41,38,3,5,0,0,1,5,0,0,1,12,0.132,0.15,0.211,0.361,0,8,0,0,1,1,0,/546H,arauzjo01
47,Jonathan Arauz#,23,BOS,AL,6,12,10,1,0,0,0,0,1,0,0,0,3,0,0,0,0,-100,0,0,0,1,1,0,/46H,arauzjo01
48,Jonathan Arauz#,23,BAL,AL,9,29,28,2,5,0,0,1,4,0,0,1,9,0.179,0.207,0.286,0.493,38,8,0,0,0,0,0,/54H6,arauzjo01
49,Orlando Arcia,27,ATL,NL,56,196,173,20,42,7,0,7,26,0,0,19,42,0.243,0.321,0.405,0.726,100,70,7,2,0,2,0,4/D75H6,arciaor01
50,Nolan Arenado,31,STL,NL,131,554,499,68,149,39,1,28,95,4,3,45,67,0.299,0.361,0.549,0.91,157,274,14,6,0,4,3,*5D/H,arenano01
51,Gabriel Arias,22,CLE,AL,6,20,19,2,2,0,0,0,1,0,0,1,8,0.105,0.15,0.105,0.255,-24,2,0,0,0,0,0,/546,ariasga01
52,Randy Arozarena,27,TBR,AL,136,572,520,65,139,36,2,19,78,30,10,40,132,0.267,0.332,0.454,0.786,129,236,17,11,0,1,2,*7D9/H,arozara01
53,Luis Arraez*,25,MIN,AL,126,538,486,78,155,29,1,8,46,4,4,47,41,0.319,0.379,0.432,0.811,135,210,4,2,0,3,2,34DH/5,arraelu01
54,Christian Arroyo,27,BOS,AL,75,262,243,29,68,14,1,6,30,5,1,13,42,0.28,0.323,0.42,0.743,105,102,6,3,2,1,2,4965/3DH,arroych01
55,Willians Astudillo,30,MIA,NL,21,55,54,5,13,0,0,1,4,1,0,1,3,0.241,0.255,0.296,0.551,55,16,2,0,0,0,0,5/4H31D,astudwi01
56,Jose Azocar,26,SDP,NL,83,172,158,18,42,7,3,0,8,4,6,12,35,0.266,0.316,0.348,0.664,93,55,4,0,1,1,0,98H7/D,azocajo01
57,Akil Baddoo*,23,DET,AL,54,156,141,17,26,1,1,1,5,4,4,15,48,0.184,0.263,0.227,0.49,45,32,2,0,0,0,0,78/HD,baddoak01
58,Harrison Bader,28,STL,NL,72,264,246,35,63,7,3,5,21,15,2,13,47,0.256,0.303,0.37,0.673,93,91,4,4,0,1,0,8/H,baderha01
59,Javier Baez,29,DET,AL,126,517,485,52,112,25,3,12,55,8,2,24,130,0.231,0.273,0.369,0.642,85,179,13,5,0,3,0,*6/DH,baezja01
60,Rylan Bannon,26,BAL,AL,4,15,14,0,2,0,0,0,0,0,0,0,5,0.143,0.2,0.143,0.343,0,2,0,1,0,0,0,/5D,bannory01
61,Daniel Bard,37,COL,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bardda01
62,Joe Barlow,26,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,barlojo01
63,Scott Barlow,29,KCR,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,barlosc01
64,Austin Barnes,32,LAD,NL,51,173,148,28,33,6,0,7,23,2,1,21,29,0.223,0.329,0.405,0.735,101,60,5,3,0,1,0,2/DH4,barneau01
65,Tucker Barnhart*,31,DET,AL,85,273,250,13,52,8,0,1,14,0,0,22,69,0.208,0.275,0.252,0.527,55,63,5,1,0,0,0,Feb-51,barnhtu01
66,Luis Barrera*,26,OAK,AL,32,85,77,3,18,5,0,1,7,3,0,6,17,0.234,0.294,0.338,0.632,85,26,2,1,0,1,0,79/H8,barrelu01
